@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

seismic-bumps,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.166112,0.139921,0.338379,113.45699,136.392179,90.403637,246.070328,-155.666691,0.350402,0.953761,-0.603359,-62.935907,-0.243938,-69.616565,0.294118,5,0.087137,21,0.912863,220,0.705882,12,0.192308,0.294118,0.232558,0.170582,0.732731,0.155867,0.872093,0.665112,0.334888,0.127907,0.898464,0.872093,0.884262,0.170582,0.732731,0.920054,0.581395,0.872093,0.002,0.001,0,0,0,0,5791,423407,49099,91.860465,57.55814,?
seismic-bumps,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.21665,0.131013,0.321384,106.233967,129.542,90.403637,255.651344,-165.247707,0.350402,0.990897,-0.640495,-56.135444,-0.217579,-62.094232,0.352941,6,0.082988,20,0.917012,221,0.647059,11,0.230769,0.352941,0.27907,0.22248,0.7464,0.194755,0.879845,0.609891,0.390109,0.120155,0.905025,0.879845,0.891276,0.22248,0.7464,0.919415,0.606765,0.879845,0.001,0.001,0,0,0,0,5791,423407,49099,93.410853,57.55814,?
seismic-bumps,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,222,36,0,86.046512,13.953488,0,0.240308,0.151969,0.358531,123.226486,144.514952,90.403637,846.473056,-756.069419,0.350402,3.280903,-2.930502,-77.317108,-0.299679,-85.524333,0.470588,8,0.112033,27,0.887967,214,0.529412,9,0.228571,0.470588,0.307692,0.259778,0.742006,0.173994,0.860465,0.50191,0.49809,0.139535,0.91147,0.860465,0.881909,0.259778,0.742006,0.911753,0.615053,0.860465,0.002,0.001,0,0,0,0,5791,423407,49099,89.922481,56.395349,?
seismic-bumps,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,231,27,0,89.534884,10.465116,0,0.397092,0.122308,0.308771,99.175613,124.45808,90.403637,407.903789,-317.500152,0.350402,1.581022,-1.230621,-46.184993,-0.179012,-51.087539,0.647059,11,0.087137,21,0.912863,220,0.352941,6,0.34375,0.647059,0.44898,0.421436,0.88577,0.315024,0.895349,0.335427,0.664573,0.104651,0.931959,0.895349,0.909686,0.421436,0.88577,0.945868,0.695582,0.895349,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,93.410853,56.395349,?
seismic-bumps,4,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.307772,0.134244,0.331341,108.853676,133.555427,90.403637,437.438366,-347.034729,0.350402,1.695498,-1.345096,-56.572348,-0.219273,-62.577513,0.529412,9,0.095436,23,0.904564,218,0.470588,8,0.28125,0.529412,0.367347,0.32664,0.783988,0.27332,0.879845,0.445869,0.554131,0.120155,0.919575,0.879845,0.896306,0.32664,0.783988,0.927055,0.650483,0.879845,0.002,0.001,0,0,0,0,5791,423407,49099,92.248062,56.395349,?
seismic-bumps,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,222,37,0,85.714286,14.285714,0,0.204928,0.159846,0.364856,129.820014,147.328745,90.502467,556.236146,-465.733679,0.34943,2.14763,-1.7982,-89.687369,-0.346283,-99.099364,0.411765,7,0.11157,27,0.88843,215,0.588235,10,0.205882,0.411765,0.27451,0.220143,0.722654,0.1889,0.857143,0.556948,0.443052,0.142857,0.906349,0.857143,0.878352,0.220143,0.722654,0.906689,0.59764,0.857143,0.002,0.001,0,0,0,0,5791,423226,49280,89.57529,57.528958,?
seismic-bumps,5,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,220,39,0,84.942085,15.057915,0,0.129449,0.157535,0.359094,127.943383,145.002437,90.502467,782.245663,-691.743196,0.34943,3.020254,-2.670823,-81.339818,-0.314053,-89.875802,0.294118,5,0.11157,27,0.88843,215,0.705882,12,0.15625,0.294118,0.204082,0.137379,0.798493,0.178798,0.849421,0.666873,0.333127,0.150579,0.895225,0.849421,0.870061,0.137379,0.798266,0.929845,0.560463,0.849421,0.002,0.001,0.015625,0,15.625,0,5791,423226,49280,91.119691,56.756757,?
seismic-bumps,5,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,218,41,0,84.169884,15.830116,0,0.150684,0.165395,0.382907,134.326452,154.617956,90.502467,1483.476981,-1392.974514,0.34943,5.72771,-5.37828,-90.076717,-0.347787,-99.529571,0.352941,6,0.123967,30,0.876033,212,0.647059,11,0.166667,0.352941,0.226415,0.163914,0.663831,0.13885,0.841699,0.612725,0.387275,0.158301,0.899213,0.841699,0.866839,0.163914,0.663831,0.899063,0.569122,0.841699,0.001,0.001,0,0,0,0,5791,423226,49280,88.416988,55.212355,?
seismic-bumps,5,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,222,37,0,85.714286,14.285714,0,0.204928,0.145204,0.348599,117.928693,140.764372,90.502467,270.991804,-180.489337,0.34943,1.0463,-0.69687,-70.959994,-0.273977,-78.406696,0.411765,7,0.11157,27,0.88843,215,0.588235,10,0.205882,0.411765,0.27451,0.220143,0.755712,0.214144,0.857143,0.556948,0.443052,0.142857,0.906349,0.857143,0.878352,0.220143,0.755712,0.927376,0.59764,0.857143,0.002,0.001,0,0,0,0,5791,423226,49280,90.733591,55.984556,?
seismic-bumps,5,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.099063,0.151122,0.354591,122.539893,142.926772,90.403637,497.728801,-407.325164,0.350402,1.929181,-1.57878,-73.856641,-0.286266,-81.696538,0.235294,4,0.103734,25,0.896266,216,0.764706,13,0.137931,0.235294,0.173913,0.103333,0.727239,0.170918,0.852713,0.721154,0.278846,0.147287,0.890169,0.852713,0.870044,0.103333,0.727125,0.920771,0.546531,0.852713,0.003,0.002,0,0.015625,0,15.625,5791,423407,49099,91.472868,57.55814,?
seismic-bumps,5,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,232,26,0,89.922481,10.077519,0,0.262046,0.114601,0.301117,92.925817,121.373097,90.403637,176.934637,-86.531,0.350402,0.685793,-0.335391,-32.364646,-0.125444,-35.800159,0.352941,6,0.062241,15,0.937759,226,0.647059,11,0.285714,0.352941,0.315789,0.263752,0.743471,0.196199,0.899225,0.608524,0.391476,0.100775,0.909579,0.899225,0.904107,0.263752,0.743471,0.922148,0.630698,0.899225,0.002,0.001,0,0,0,0,5791,423407,49099,93.79845,55.813953,?
seismic-bumps,5,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,232,26,0,89.922481,10.077519,0,0.262046,0.107711,0.291246,87.339472,117.393971,90.403637,202.947585,-112.543948,0.350402,0.786619,-0.436217,-28.84834,-0.111815,-31.910597,0.352941,6,0.062241,15,0.937759,226,0.647059,11,0.285714,0.352941,0.315789,0.263752,0.773493,0.27883,0.899225,0.608524,0.391476,0.100775,0.909579,0.899225,0.904107,0.263752,0.773493,0.919169,0.630698,0.899225,0.001,0.001,0,0,0,0,5791,423407,49099,94.573643,55.620155,?
seismic-bumps,5,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,216,42,0,83.72093,16.27907,0,0.145021,0.161368,0.363944,130.847284,146.697005,90.403637,309.601141,-219.197504,0.350402,1.200004,-0.849603,-87.08989,-0.337558,-96.334498,0.352941,6,0.128631,31,0.871369,210,0.647059,11,0.162162,0.352941,0.222222,0.158776,0.774957,0.22178,0.837209,0.612899,0.387101,0.162791,0.8983,0.837209,0.863832,0.158776,0.774957,0.931015,0.565657,0.837209,0.002,0.001,0,0,0,0,5791,423407,49099,91.472868,57.364341,?
seismic-bumps,5,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.307772,0.134385,0.335626,108.96779,135.282823,90.403637,298.516298,-208.112661,0.350402,1.15704,-0.806638,-54.458529,-0.21108,-60.239312,0.529412,9,0.095436,23,0.904564,218,0.470588,8,0.28125,0.529412,0.367347,0.32664,0.773737,0.280378,0.879845,0.445869,0.554131,0.120155,0.919575,0.879845,0.896306,0.32664,0.773737,0.930025,0.650483,0.879845,0,0.001,0.015625,0,15.625,0,5791,423407,49099,90.697674,56.20155,?
seismic-bumps,5,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,230,28,0,89.147287,10.852713,0,0.362401,0.13367,0.323496,108.388515,130.393526,90.403637,231.856086,-141.452449,0.350402,0.898667,-0.548265,-60.692956,-0.235244,-67.135525,0.588235,10,0.087137,21,0.912863,220,0.411765,7,0.322581,0.588235,0.416667,0.382351,0.83671,0.252209,0.891473,0.390375,0.609625,0.108527,0.926559,0.891473,0.905676,0.382351,0.83671,0.937825,0.678419,0.891473,0.002,0.001,0,0,0,0,5791,423407,49099,93.410853,59.108527,?
seismic-bumps,6,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,233,26,0,89.96139,10.03861,0,0.408156,0.110916,0.29264,90.08097,118.16823,90.502467,184.868898,-94.366431,0.34943,0.71378,-0.364349,-30.782876,-0.118853,-34.0133,0.647059,11,0.082645,20,0.917355,222,0.352941,6,0.354839,0.647059,0.458333,0.430608,0.880408,0.376173,0.899614,0.3352,0.6648,0.100386,0.933065,0.899614,0.912758,0.430608,0.880408,0.949325,0.701507,0.899614,0.002,0.001,0,0,0,0,5791,423226,49280,94.594595,56.756757,?
seismic-bumps,6,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,223,36,0,86.100386,13.899614,0,0.110136,0.14538,0.358102,118.07111,144.601716,90.502467,604.779827,-514.27736,0.34943,2.335057,-1.985627,-67.853453,-0.261982,-74.974148,0.235294,4,0.095041,23,0.904959,219,0.764706,13,0.148148,0.235294,0.181818,0.113663,0.628828,0.12532,0.861004,0.720751,0.279249,0.138996,0.89173,0.861004,0.875333,0.113663,0.628828,0.907745,0.552934,0.861004,0.002,0.001,0.015625,0,15.625,0,5791,423226,49280,88.803089,54.247104,?
seismic-bumps,6,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,228,31,0,88.030888,11.969112,0,0.280104,0.136392,0.334252,110.771772,134.971027,90.502467,283.869692,-193.367225,0.34943,1.096022,-0.746592,-56.948677,-0.219879,-62.925,0.470588,8,0.090909,22,0.909091,220,0.529412,9,0.266667,0.470588,0.340426,0.293813,0.697861,0.272156,0.880309,0.50063,0.49937,0.119691,0.915144,0.880309,0.89521,0.293813,0.697861,0.899126,0.637304,0.880309,0.002,0.001,0,0,0,0,5791,423226,49280,91.505792,57.142857,?
seismic-bumps,6,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,231,28,0,89.189189,10.810811,0,0.276825,0.116282,0.306462,94.439034,123.749311,90.502467,407.529666,-317.027199,0.34943,1.573474,-1.224043,-35.323246,-0.136383,-39.030147,0.411765,7,0.07438,18,0.92562,224,0.588235,10,0.28,0.411765,0.333333,0.28293,0.81016,0.236294,0.891892,0.554507,0.445493,0.108108,0.912811,0.891892,0.901279,0.28293,0.81016,0.932656,0.637255,0.891892,0.001,0.001,0,0,0,0,5791,423226,49280,93.822394,56.177606,?
seismic-bumps,6,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,229,29,0,88.75969,11.24031,0,0.297992,0.130915,0.317747,106.1544,128.076217,90.403637,197.464395,-107.060758,0.350402,0.765366,-0.414964,-58.550309,-0.226939,-64.765435,0.470588,8,0.082988,20,0.917012,221,0.529412,9,0.285714,0.470588,0.355556,0.309154,0.745423,0.321568,0.887597,0.499996,0.500004,0.112403,0.916383,0.887597,0.900022,0.309154,0.745423,0.927128,0.646992,0.887597,0.001,0.001,0,0,0,0,5791,423407,49099,92.635659,58.139535,?
seismic-bumps,6,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,217,41,0,84.108527,15.891473,0,0.047542,0.168364,0.383725,136.520744,154.670168,90.403637,830.299694,-739.896056,0.350402,3.218216,-2.867814,-88.962113,-0.344814,-98.405458,0.176471,3,0.112033,27,0.887967,214,0.823529,14,0.1,0.176471,0.12766,0.04987,0.700513,0.119614,0.841085,0.776648,0.223352,0.158915,0.88334,0.841085,0.86086,0.04987,0.700513,0.914922,0.52012,0.841085,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,88.75969,56.589147,?
seismic-bumps,6,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,226,32,0,87.596899,12.403101,0,0.299032,0.142682,0.336247,115.696165,135.533076,90.403637,476.451814,-386.048177,0.350402,1.846712,-1.496311,-68.632513,-0.266017,-75.917868,0.529412,9,0.099585,24,0.900415,217,0.470588,8,0.272727,0.529412,0.36,0.319285,0.869417,0.262699,0.875969,0.446142,0.553858,0.124031,0.918866,0.875969,0.893685,0.319285,0.869417,0.94174,0.645665,0.875969,0.002,0.001,0,0,0,0,5791,423407,49099,93.410853,58.139535,?
seismic-bumps,6,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,215,43,0,83.333333,16.666667,0,0.039813,0.170886,0.375983,138.565602,151.549477,90.403637,749.191271,-658.787634,0.350402,2.903842,-2.55344,-96.585239,-0.374361,-106.83778,0.176471,3,0.120332,29,0.879668,212,0.823529,14,0.09375,0.176471,0.122449,0.042254,0.734928,0.130835,0.833333,0.777195,0.222805,0.166667,0.882421,0.833333,0.856167,0.042254,0.734928,0.921443,0.515186,0.833333,0.001,0.002,0,0,0,0,5791,423407,49099,90.697674,58.139535,?
seismic-bumps,6,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.226448,0.153367,0.35733,124.360007,144.03084,90.403637,534.293463,-443.889826,0.350402,2.070905,-1.720503,-75.629632,-0.293138,-83.657731,0.470588,8,0.120332,29,0.879668,212,0.529412,9,0.216216,0.470588,0.296296,0.247926,0.813156,0.233397,0.852713,0.502457,0.497543,0.147287,0.910315,0.852713,0.8768,0.247926,0.813042,0.93315,0.607023,0.852713,0.001,0.001,0,0,0,0,5791,423407,49099,91.085271,56.589147,?
seismic-bumps,6,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.198102,0.157189,0.365523,127.458937,147.333301,90.403637,820.245697,-729.84206,0.350402,3.179247,-2.828845,-87.104648,-0.337615,-96.350823,0.411765,7,0.116183,28,0.883817,213,0.588235,10,0.2,0.411765,0.269231,0.214153,0.722968,0.147708,0.852713,0.557131,0.442869,0.147287,0.905399,0.852713,0.875348,0.214153,0.722968,0.918751,0.593667,0.852713,0.001,0.003,0,0,0,0,5791,423407,49099,89.147287,56.395349,?
seismic-bumps,7,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,224,35,0,86.486486,13.513514,0,0.300162,0.146316,0.351311,118.83161,141.859285,90.502467,977.710875,-887.208408,0.34943,3.774945,-3.425515,-67.184031,-0.259398,-74.234475,0.588235,10,0.115702,28,0.884298,214,0.411765,7,0.263158,0.588235,0.363636,0.330732,0.821342,0.21648,0.864865,0.392332,0.607668,0.135135,0.922041,0.864865,0.887599,0.330732,0.821342,0.925814,0.644021,0.864865,0.001,0.002,0,0,0,0,5791,423226,49280,90.34749,56.756757,?
seismic-bumps,7,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,223,36,0,86.100386,13.899614,0,0.070203,0.15071,0.351453,122.400088,141.916996,90.502467,245.4346,-154.932133,0.34943,0.947624,-0.598194,-79.756058,-0.307938,-88.125839,0.176471,3,0.090909,22,0.909091,220,0.823529,14,0.12,0.176471,0.142857,0.071752,0.698833,0.188693,0.861004,0.775442,0.224558,0.138996,0.886337,0.861004,0.873074,0.071752,0.698833,0.914434,0.533613,0.861004,0.001,0.001,0,0.015625,0,15.625,5791,423226,49280,91.505792,57.528958,?
seismic-bumps,7,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,226,33,0,87.258687,12.741313,0,0.233659,0.134439,0.332194,109.18533,134.139874,90.502467,761.195866,-670.693399,0.34943,2.93898,-2.58955,-54.513581,-0.210477,-60.234359,0.411765,7,0.095041,23,0.904959,219,0.588235,10,0.233333,0.411765,0.297872,0.245095,0.775158,0.181416,0.872587,0.555863,0.444137,0.127413,0.908876,0.872587,0.888449,0.245095,0.775158,0.927323,0.613904,0.872587,0.002,0.001,0,0,0,0,5791,423226,49280,93.050193,56.563707,?
seismic-bumps,7,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,226,33,0,87.258687,12.741313,0,0.16639,0.136614,0.341035,110.951752,137.710139,90.502467,280.238921,-189.736454,0.34943,1.082004,-0.732573,-57.412232,-0.221669,-63.437201,0.294118,5,0.086777,21,0.913223,221,0.705882,12,0.192308,0.294118,0.232558,0.170865,0.70491,0.144306,0.872587,0.665246,0.334754,0.127413,0.898864,0.872587,0.884714,0.170865,0.70491,0.905139,0.581542,0.872587,0.001,0.002,0,0,0,0,5791,423226,49280,90.34749,54.247104,?
seismic-bumps,7,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.279849,0.12995,0.3207,105.372178,129.266158,90.403637,199.891071,-109.487434,0.350402,0.774772,-0.42437,-52.418587,-0.203173,-57.982829,0.470588,8,0.091286,22,0.908714,219,0.529412,9,0.266667,0.470588,0.340426,0.293555,0.769099,0.249049,0.879845,0.500543,0.499457,0.120155,0.914807,0.879845,0.894797,0.293555,0.769099,0.928255,0.637164,0.879845,0.002,0.001,0,0,0,0,5791,423407,49099,93.023256,57.364341,?
seismic-bumps,7,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,227,31,0,87.984496,12.015504,0,0.21665,0.135683,0.330528,110.020672,133.227615,90.403637,463.206234,-372.802597,0.350402,1.795373,-1.444971,-61.361494,-0.237835,-67.875028,0.352941,6,0.082988,20,0.917012,221,0.647059,11,0.230769,0.352941,0.27907,0.22248,0.699414,0.217442,0.879845,0.609891,0.390109,0.120155,0.905025,0.879845,0.891276,0.22248,0.6993,0.905499,0.606765,0.879845,0,0,0,0,0,0,5791,423407,49099,91.860465,56.976744,?
seismic-bumps,7,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,223,35,0,86.434109,13.565891,0,0.247625,0.136343,0.334908,110.555565,134.993113,90.403637,254.254545,-163.850908,0.350402,0.985483,-0.635081,-59.599966,-0.231008,-65.926513,0.470588,8,0.107884,26,0.892116,215,0.529412,9,0.235294,0.470588,0.313725,0.266025,0.786917,0.320658,0.864341,0.501637,0.498363,0.135659,0.912081,0.864341,0.884471,0.266025,0.786917,0.935086,0.619228,0.864341,0,0,0,0,0,0,5791,423407,49099,91.860465,57.170543,?
seismic-bumps,7,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,231,27,0,89.534884,10.465116,0,0.286417,0.119438,0.305185,96.84801,123.012448,90.403637,423.860775,-333.457138,0.350402,1.642871,-1.29247,-41.368073,-0.160341,-45.759301,0.411765,7,0.070539,17,0.929461,224,0.588235,10,0.291667,0.411765,0.341463,0.291448,0.759824,0.229297,0.895349,0.554124,0.445876,0.104651,0.913408,0.895349,0.903511,0.291448,0.759824,0.926115,0.642311,0.895349,0,0,0,0,0,0,5791,423407,49099,93.023256,57.55814,?
seismic-bumps,7,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,216,42,0,83.72093,16.27907,0,0.174211,0.172816,0.383759,140.130637,154.684069,90.403637,1104.865226,-1014.461589,0.350402,4.282423,-3.932022,-96.138094,-0.372628,-106.34317,0.411765,7,0.13278,32,0.86722,209,0.588235,10,0.179487,0.411765,0.25,0.193223,0.809861,0.175495,0.837209,0.558225,0.441775,0.162791,0.903282,0.837209,0.865293,0.193223,0.809861,0.931258,0.579348,0.837209,0.017,0.001,0.03125,0,31.25,0,5791,423407,49099,89.922481,57.170543,?
seismic-bumps,7,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,216,42,0,83.72093,16.27907,0,0.174211,0.17154,0.383796,139.09541,154.698611,90.403637,542.728985,-452.325348,0.350402,2.103601,-1.753199,-99.218915,-0.384569,-109.751021,0.411765,7,0.13278,32,0.86722,209,0.588235,10,0.179487,0.411765,0.25,0.193223,0.79009,0.184078,0.837209,0.558225,0.441775,0.162791,0.903282,0.837209,0.865293,0.193223,0.79009,0.930227,0.579348,0.837209,0.001,0.001,0,0,0,0,5791,423407,49099,88.372093,56.007752,?
seismic-bumps,8,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,226,33,0,87.258687,12.741313,0,0.26338,0.130463,0.324001,105.956489,130.831794,90.502467,213.756711,-123.254244,0.34943,0.825315,-0.475885,-49.077146,-0.189487,-54.227412,0.470588,8,0.099174,24,0.900826,218,0.529412,9,0.25,0.470588,0.326531,0.279514,0.825231,0.411319,0.872587,0.501172,0.498828,0.127413,0.913727,0.872587,0.890051,0.279514,0.825231,0.941892,0.628084,0.872587,0.002,0.002,0,0,0,0,5791,423226,49280,93.436293,56.949807,?
seismic-bumps,8,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,222,37,0,85.714286,14.285714,0,0.204928,0.15668,0.355593,127.248678,143.588731,90.502467,335.276995,-244.774528,0.34943,1.294506,-0.945075,-83.006164,-0.320487,-91.717018,0.411765,7,0.11157,27,0.88843,215,0.588235,10,0.205882,0.411765,0.27451,0.220143,0.815265,0.185514,0.857143,0.556948,0.443052,0.142857,0.906349,0.857143,0.878352,0.220143,0.815265,0.93225,0.59764,0.857143,0.001,0.001,0,0,0,0,5791,423226,49280,91.891892,58.687259,?
seismic-bumps,8,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,237,22,0,91.505792,8.494208,0,0.431791,0.110579,0.28724,89.807092,115.987426,90.502467,388.803855,-298.301388,0.34943,1.501173,-1.151743,-35.530252,-0.137182,-39.258876,0.588235,10,0.061983,15,0.938017,227,0.411765,7,0.4,0.588235,0.47619,0.441314,0.875061,0.3388,0.915058,0.388806,0.611194,0.084942,0.932667,0.915058,0.922434,0.441314,0.875061,0.946805,0.714986,0.915058,0.001,0.001,0,0,0,0,5791,423226,49280,94.594595,58.301158,?
seismic-bumps,8,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,231,28,0,89.189189,10.810811,0,0.164324,0.113281,0.303337,92.002267,122.487538,90.502467,642.332443,-551.829976,0.34943,2.480048,-2.130618,-32.548538,-0.12567,-35.964255,0.235294,4,0.061983,15,0.938017,227,0.764706,13,0.210526,0.235294,0.222222,0.164617,0.695187,0.182429,0.891892,0.718581,0.281419,0.108108,0.89757,0.891892,0.894671,0.164617,0.695187,0.905413,0.582065,0.891892,0.002,0.001,0,0,0,0,5791,423226,49280,93.822394,56.756757,?
seismic-bumps,8,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.201163,0.142905,0.342582,115.876379,138.086355,90.403637,242.843982,-152.440345,0.350402,0.941256,-0.590854,-66.526809,-0.257856,-73.588642,0.352941,6,0.091286,22,0.908714,219,0.647059,11,0.214286,0.352941,0.266667,0.208698,0.657554,0.15797,0.872093,0.610438,0.389562,0.127907,0.903553,0.872093,0.886232,0.208698,0.657554,0.910684,0.598301,0.872093,0.002,0.001,0,0,0,0,5791,423407,49099,91.085271,56.782946,?
seismic-bumps,8,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.233387,0.140309,0.343684,113.771971,138.530476,90.403637,284.506982,-194.103345,0.350402,1.10274,-0.752339,-59.263328,-0.229703,-65.554142,0.411765,7,0.095436,23,0.904564,218,0.588235,10,0.233333,0.411765,0.297872,0.244818,0.776666,0.180284,0.872093,0.555764,0.444236,0.127907,0.908514,0.872093,0.88801,0.244818,0.776666,0.92601,0.613755,0.872093,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,91.472868,56.007752,?
seismic-bumps,8,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.201163,0.140337,0.348026,113.794112,140.280772,90.403637,1198.38647,-1107.982833,0.350402,4.644909,-4.294507,-57.983981,-0.224744,-64.138991,0.352941,6,0.091286,22,0.908714,219,0.647059,11,0.214286,0.352941,0.266667,0.208698,0.678301,0.154347,0.872093,0.610438,0.389562,0.127907,0.903553,0.872093,0.886232,0.208698,0.678301,0.893369,0.598301,0.872093,0.002,0.001,0,0,0,0,5791,423407,49099,90.310078,55.03876,?
seismic-bumps,8,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.339898,0.133053,0.324899,107.88786,130.958845,90.403637,252.506419,-162.102782,0.350402,0.978707,-0.628305,-57.011332,-0.220974,-63.063095,0.647059,11,0.112033,27,0.887967,214,0.352941,6,0.289474,0.647059,0.4,0.374545,0.862338,0.375084,0.872093,0.337067,0.662933,0.127907,0.927707,0.872093,0.893598,0.374545,0.862338,0.947813,0.664208,0.872093,0.001,0.002,0,0,0,0,5791,423407,49099,93.023256,56.782946,?
seismic-bumps,8,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.134687,0.156143,0.360169,126.610993,145.1752,90.403637,751.230853,-660.827216,0.350402,2.911747,-2.561346,-86.791378,-0.336401,-96.004299,0.294118,5,0.107884,26,0.892116,215,0.705882,12,0.16129,0.294118,0.208333,0.142101,0.779839,0.179011,0.852713,0.666479,0.333521,0.147287,0.895356,0.852713,0.871989,0.142101,0.779839,0.927603,0.563568,0.852713,0.002,0.001,0,0.015625,0,15.625,5791,423407,49099,90.697674,56.782946,?
seismic-bumps,8,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,211,47,0,81.782946,18.217054,0,0.059854,0.199449,0.423607,161.726129,170.745504,90.403637,735.806155,-645.402518,0.350402,2.851962,-2.50156,-127.762605,-0.495204,-141.324629,0.235294,4,0.141079,34,0.858921,207,0.764706,13,0.105263,0.235294,0.145455,0.065956,0.634611,0.095176,0.817829,0.723614,0.276386,0.182171,0.885847,0.817829,0.848458,0.065956,0.634611,0.908181,0.521751,0.817829,0.002,0.001,0,0,0,0,5791,423407,49099,84.883721,56.20155,?
