@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

seismic-bumps,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.198102,0.156112,0.36551,126.585731,147.328348,90.403637,494.908379,-404.504741,0.350402,1.91825,-1.567848,-78.528058,-0.304372,-86.863826,0.411765,7,0.116183,28,0.883817,213,0.588235,10,0.2,0.411765,0.269231,0.214153,0.816451,0.296509,0.852713,0.557131,0.442869,0.147287,0.905399,0.852713,0.875348,0.214153,0.816451,0.939536,0.593667,0.852713,0.002,0.001,0,0,0,0,5791,423407,49099,89.534884,55.813953,?
seismic-bumps,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,212,47,0,81.853282,18.146718,0,0.060218,0.184518,0.397429,149.857238,160.482053,90.502467,655.252544,-564.750077,0.34943,2.529933,-2.180502,-113.924133,-0.439862,-125.879589,0.235294,4,0.140496,34,0.859504,208,0.764706,13,0.105263,0.235294,0.145455,0.066351,0.655809,0.116541,0.818533,0.723735,0.276265,0.181467,0.88631,0.818533,0.849061,0.066351,0.655809,0.898183,0.521971,0.818533,0.002,0.002,0,0,0,0,5791,423226,49280,88.416988,57.722008,?
seismic-bumps,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,223,36,0,86.100386,13.899614,0,0.240593,0.148146,0.341188,120.317627,137.771619,90.502467,283.288443,-192.785976,0.34943,1.093778,-0.744347,-77.868934,-0.300652,-86.040675,0.470588,8,0.11157,27,0.88843,215,0.529412,9,0.228571,0.470588,0.307692,0.26007,0.757414,0.242362,0.861004,0.501986,0.498014,0.138996,0.911824,0.861004,0.882376,0.26007,0.757414,0.913816,0.61522,0.861004,0.002,0.001,0,0,0,0,5791,423226,49280,91.891892,58.880309,?
seismic-bumps,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,225,34,0,86.872587,13.127413,0,0.22605,0.137828,0.330663,111.937859,133.521927,90.502467,489.991509,-399.489042,0.34943,1.891859,-1.542429,-60.189305,-0.232391,-66.505707,0.411765,7,0.099174,24,0.900826,218,0.588235,10,0.225806,0.411765,0.291667,0.238485,0.787919,0.228538,0.868726,0.556135,0.443865,0.131274,0.908203,0.868726,0.885915,0.238485,0.787806,0.92954,0.609663,0.868726,0.002,0.007,0,0,0,0,5791,423226,49280,92.664093,57.528958,?
seismic-bumps,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,234,25,0,90.34749,9.65251,0,0.307709,0.107605,0.29342,87.392065,118.483157,90.502467,150.277811,-59.775344,0.34943,0.580223,-0.230793,-30.311591,-0.117033,-33.492557,0.411765,7,0.061983,15,0.938017,227,0.588235,10,0.318182,0.411765,0.358974,0.310701,0.815508,0.333022,0.903475,0.553694,0.446306,0.096525,0.915823,0.903475,0.909159,0.310701,0.815508,0.937714,0.653391,0.903475,0.002,0.001,0,0,0,0,5791,423226,49280,94.980695,55.598456,?
seismic-bumps,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,231,27,0,89.534884,10.465116,0,0.419597,0.130658,0.325282,105.946202,131.113033,90.403637,975.91079,-885.507153,0.350402,3.7826,-3.432198,-56.93879,-0.220693,-62.982854,0.705882,12,0.091286,22,0.908714,219,0.294118,5,0.352941,0.705882,0.470588,0.450774,0.808152,0.241939,0.895349,0.280753,0.719247,0.104651,0.936514,0.895349,0.910878,0.450774,0.808152,0.932726,0.706262,0.895349,0.002,0.001,0,0,0,0,5791,423407,49099,91.085271,56.589147,?
seismic-bumps,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,223,35,0,86.434109,13.565891,0,0.186926,0.148628,0.348954,120.517257,140.654891,90.403637,558.61929,-468.215653,0.350402,2.165191,-1.814789,-71.605049,-0.277539,-79.205939,0.352941,6,0.099585,24,0.900415,217,0.647059,11,0.2,0.352941,0.255319,0.196081,0.777886,0.172864,0.864341,0.610985,0.389015,0.135659,0.90222,0.864341,0.881222,0.196081,0.777886,0.925868,0.590346,0.864341,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,91.085271,56.976744,?
seismic-bumps,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,225,33,0,87.209302,12.790698,0,0.201163,0.141191,0.348963,114.486982,140.658522,90.403637,530.122756,-439.719119,0.350402,2.054739,-1.704338,-66.375642,-0.25727,-73.421429,0.352941,6,0.091286,22,0.908714,219,0.647059,11,0.214286,0.352941,0.266667,0.208698,0.724677,0.159901,0.872093,0.610438,0.389562,0.127907,0.903553,0.872093,0.886232,0.208698,0.724677,0.922124,0.598301,0.872093,0.001,0.002,0,0,0,0,5791,423407,49099,89.534884,55.03876,?
seismic-bumps,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,222,36,0,86.046512,13.953488,0,0.14648,0.142879,0.349405,115.855619,140.836644,90.403637,277.434385,-187.030748,0.350402,1.075327,-0.724925,-58.743616,-0.227688,-64.979261,0.294118,5,0.099585,24,0.900415,217,0.705882,12,0.172414,0.294118,0.217391,0.152795,0.642909,0.173473,0.860465,0.665933,0.334067,0.139535,0.89652,0.860465,0.876884,0.152795,0.642909,0.8988,0.570398,0.860465,0.002,0.001,0,0,0,0,5791,423407,49099,91.085271,55.232558,?
seismic-bumps,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,220,38,0,85.271318,14.728682,0,0.134687,0.152485,0.354705,123.645032,142.972939,90.403637,451.882021,-361.478384,0.350402,1.751481,-1.401079,-76.32783,-0.295844,-84.430044,0.294118,5,0.107884,26,0.892116,215,0.705882,12,0.16129,0.294118,0.208333,0.142101,0.810593,0.238058,0.852713,0.666479,0.333521,0.147287,0.895356,0.852713,0.871989,0.142101,0.810593,0.935449,0.563568,0.852713,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,91.472868,57.170543,?
